                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.0511,                 10.521,                 4.7767,                  7e-05,                0.02703,                  6e-05,                  2e-05,                 5.1184,                 6.7686,                 4.1587,                0.00012,                0.00012,                0.00012
                      2,                 4.4808,                 7.9195,                 4.5825,                  7e-05,                0.02703,                  6e-05,                  2e-05,                 5.1209,                 6.7626,                 4.1598,             0.00023426,             0.00023426,             0.00023426
                      3,                 4.5585,                  7.458,                 4.2585,                  7e-05,                0.02703,                  6e-05,                  2e-05,                 5.1273,                 6.7514,                 4.1636,              0.0003208,              0.0003208,              0.0003208
                      4,                  4.568,                 7.7368,                 4.2104,                  7e-05,                0.02703,                  6e-05,                  2e-05,                 5.1349,                 6.7362,                 4.1686,             0.00037962,             0.00037962,             0.00037962
                      5,                 4.3393,                 6.9502,                 4.0754,                  7e-05,                0.02703,                  6e-05,                  1e-05,                 5.1478,                  6.714,                 4.1768,             0.00041072,             0.00041072,             0.00041072
                      6,                 4.2434,                 6.5691,                  4.044,                  8e-05,                0.02703,                  6e-05,                  2e-05,                 5.1551,                 6.6863,                 4.1827,              0.0004141,              0.0004141,              0.0004141
                      7,                 3.6037,                 6.2563,                 3.8609,                  8e-05,                0.02703,                  6e-05,                  2e-05,                 5.1574,                 6.6467,                  4.192,             0.00038976,             0.00038976,             0.00038976
                      8,                 3.5332,                 5.7862,                 3.6408,                  8e-05,                0.02703,                  7e-05,                  2e-05,                 5.1601,                 6.6254,                 4.2019,              0.0003377,              0.0003377,              0.0003377
                      9,                 3.8426,                 6.0202,                 3.7346,                  8e-05,                0.02703,                  5e-05,                  2e-05,                 5.1866,                 6.5935,                 4.2261,             0.00025792,             0.00025792,             0.00025792
                     10,                 3.4316,                 5.6626,                 3.6096,                  8e-05,                0.02703,                  5e-05,                  2e-05,                 5.2063,                 6.5661,                 4.2439,             0.00015042,             0.00015042,             0.00015042
